"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"IC02_01"	"ZB01_CP"	"ZB01x01"	"ZB01x02"	"ZB01x03"	"ZB01x04"	"ZB01x05"	"ZB01x06"	"ZB01x07"	"ZB01x08"	"ZB01x09"	"ZB01x10"	"BE01_01"	"BE02_01"	"BE03_01"	"BE04_01"	"BE05_01"	"BE06_01"	"BE07_01"	"BE08_01"	"BE09_01"	"BE10_01"	"BE11_01"	"BE12_01"	"BE13_01"	"BE14_01"	"BE15_01"	"BE16_01"	"BE17_01"	"BE18_01"	"BE19_01"	"BE20_01"	"BE21_01"	"BE22_01"	"BE23_01"	"BE24_01"	"BE25_01"	"BE26_01"	"BE27_01"	"BE28_01"	"BE29_01"	"BE30_01"	"BE31_01"	"BE32_01"	"BE33_01"	"BE34_01"	"BE35_01"	"BE36_01"	"BE37_01"	"BE38_01"	"BE39_01"	"BE40_01"	"BE41_01"	"BE42_01"	"BE43_01"	"BE44_01"	"BE45_01"	"BE46_01"	"BE47_01"	"BE48_01"	"BE49_01"	"BE50_01"	"BE51_01"	"BE52_01"	"BE53_01"	"BE54_01"	"BE55_01"	"BE56_01"	"BE57_01"	"BE58_01"	"BE59_01"	"BE60_01"	"BE61_01"	"BE62_01"	"BE63_01"	"BE64_01"	"BE65_01"	"BE66_01"	"BE67_01"	"BE68_01"	"BE69_01"	"BE70_01"	"BE71_01"	"BE72_01"	"BE73_01"	"BE74_01"	"BE75_01"	"BE76_01"	"ER01_01"	"ER02_01"	"ER03_01"	"ER04_01"	"ER05_01"	"ER06_01"	"ER07_01"	"ER08_01"	"ER09_01"	"ER10_01"	"ER11_01"	"ER12_01"	"ER13_01"	"ER14_01"	"ER15_01"	"ER16_01"	"ER17_01"	"ER18_01"	"ER19_01"	"ER20_01"	"ER21_01"	"ER22_01"	"ER23_01"	"ER24_01"	"ER25_01"	"ER26_01"	"ER27_01"	"ER28_01"	"ER29_01"	"ER30_01"	"ER31_01"	"ER32_01"	"ER33_01"	"ER34_01"	"ER35_01"	"ER36_01"	"ER37_01"	"ER38_01"	"ER39_01"	"ER40_01"	"ER41_01"	"ER42_01"	"ER43_01"	"ER44_01"	"ER45_01"	"ER46_01"	"ER47_01"	"ER48_01"	"ER49_01"	"ER50_01"	"ER51_01"	"ER52_01"	"ER53_01"	"ER54_01"	"ER55_01"	"ER56_01"	"ER57_01"	"ER58_01"	"ER59_01"	"ER60_01"	"ER61_01"	"ER62_01"	"ER63_01"	"ER64_01"	"ER65_01"	"ER66_01"	"ER67_01"	"ER68_01"	"ER69_01"	"ER70_01"	"ER71_01"	"ER72_01"	"ER73_01"	"ER74_01"	"ER75_01"	"ER76_01"	"GB01_01"	"GB02_01"	"GB03_01"	"GB04_01"	"GB05_01"	"GB06_01"	"GB07_01"	"GB08_01"	"GB09_01"	"GB10_01"	"GB11_01"	"GB12_01"	"GB13_01"	"GB14_01"	"GB15_01"	"GB16_01"	"GB17_01"	"GB18_01"	"GB19_01"	"GB20_01"	"GB21_01"	"GB22_01"	"GB23_01"	"GB24_01"	"GB25_01"	"GB26_01"	"GB27_01"	"GB28_01"	"GB29_01"	"GB30_01"	"GB31_01"	"GB32_01"	"GB33_01"	"GB34_01"	"GB35_01"	"GB36_01"	"GB37_01"	"GB38_01"	"GB39_01"	"GB40_01"	"GB41_01"	"GB42_01"	"GB43_01"	"GB44_01"	"GB45_01"	"GB46_01"	"GB47_01"	"GB48_01"	"GB49_01"	"GB50_01"	"GB51_01"	"GB52_01"	"GB53_01"	"GB54_01"	"GB55_01"	"GB56_01"	"GB57_01"	"GB58_01"	"GB59_01"	"GB60_01"	"GB61_01"	"GB62_01"	"GB63_01"	"GB64_01"	"GB65_01"	"GB66_01"	"GB67_01"	"GB68_01"	"GB69_01"	"GB70_01"	"GB71_01"	"GB72_01"	"GB73_01"	"GB74_01"	"GB75_01"	"GB76_01"	"GO01_01"	"GO02_01"	"GO03_01"	"GO04_01"	"GO05_01"	"GO06_01"	"GO07_01"	"GO08_01"	"GO09_01"	"GO10_01"	"GO11_01"	"GO12_01"	"GO13_01"	"GO14_01"	"GO15_01"	"GO16_01"	"GO17_01"	"GO18_01"	"GO19_01"	"GO20_01"	"GO21_01"	"GO22_01"	"GO23_01"	"GO24_01"	"GO25_01"	"GO26_01"	"GO27_01"	"GO28_01"	"GO29_01"	"GO30_01"	"GO31_01"	"GO32_01"	"GO33_01"	"GO34_01"	"GO35_01"	"GO36_01"	"GO37_01"	"GO38_01"	"GO39_01"	"GO40_01"	"GO41_01"	"GO42_01"	"GO43_01"	"GO44_01"	"GO45_01"	"GO46_01"	"GO47_01"	"GO48_01"	"GO49_01"	"GO50_01"	"GO51_01"	"GO52_01"	"GO53_01"	"GO54_01"	"GO55_01"	"GO56_01"	"GO57_01"	"GO58_01"	"GO59_01"	"GO60_01"	"GO61_01"	"GO62_01"	"GO63_01"	"GO64_01"	"GO65_01"	"GO66_01"	"GO67_01"	"GO68_01"	"GO69_01"	"GO70_01"	"GO71_01"	"GO72_01"	"GO73_01"	"GO74_01"	"GO75_01"	"GO76_01"	"PI01_01"	"PI02_01"	"PI03_01"	"PI04_01"	"PI05_01"	"PI06_01"	"PI07_01"	"PI08_01"	"PI09_01"	"PI10_01"	"PI11_01"	"PI12_01"	"PI13_01"	"PI14_01"	"PI15_01"	"PI16_01"	"PI17_01"	"PI18_01"	"PI19_01"	"PI20_01"	"PI21_01"	"PI22_01"	"PI23_01"	"PI24_01"	"PI25_01"	"PI26_01"	"PI27_01"	"PI28_01"	"PI29_01"	"PI30_01"	"PI31_01"	"PI32_01"	"PI33_01"	"PI34_01"	"PI35_01"	"PI36_01"	"PI37_01"	"PI38_01"	"PI39_01"	"PI40_01"	"PI41_01"	"PI42_01"	"PI43_01"	"PI44_01"	"PI45_01"	"PI46_01"	"PI47_01"	"PI48_01"	"PI49_01"	"PI50_01"	"PI51_01"	"PI52_01"	"PI53_01"	"PI54_01"	"PI55_01"	"PI56_01"	"PI57_01"	"PI58_01"	"PI59_01"	"PI60_01"	"PI61_01"	"PI62_01"	"PI63_01"	"PI64_01"	"PI65_01"	"PI66_01"	"PI67_01"	"PI68_01"	"PI69_01"	"PI70_01"	"PI71_01"	"PI72_01"	"PI73_01"	"PI74_01"	"PI75_01"	"PI76_01"	"DI01_01"	"DI02_01"	"DI03_01"	"DI04_01"	"DI05_01"	"DI06_01"	"DI07_01"	"DI08_01"	"DI09_01"	"DI10_01"	"DI11_01"	"DI12_01"	"DI13_01"	"DI14_01"	"DI15_01"	"DI16_01"	"DI17_01"	"DI18_01"	"DI19_01"	"DI20_01"	"DI21_01"	"DI22_01"	"DI23_01"	"DI24_01"	"DI25_01"	"DI26_01"	"DI27_01"	"DI28_01"	"DI29_01"	"DI30_01"	"DI31_01"	"DI32_01"	"DI33_01"	"DI34_01"	"DI35_01"	"DI36_01"	"DI37_01"	"DI38_01"	"DI39_01"	"DI40_01"	"DI41_01"	"DI42_01"	"DI43_01"	"DI44_01"	"DI45_01"	"DI46_01"	"DI47_01"	"DI48_01"	"DI49_01"	"DI50_01"	"DI51_01"	"DI52_01"	"DI53_01"	"DI54_01"	"DI55_01"	"DI56_01"	"DI57_01"	"DI58_01"	"DI59_01"	"DI60_01"	"DI61_01"	"DI62_01"	"DI63_01"	"DI64_01"	"DI65_01"	"DI66_01"	"DI67_01"	"DI68_01"	"DI69_01"	"DI70_01"	"DI71_01"	"DI72_01"	"DI73_01"	"DI74_01"	"DI75_01"	"DI76_01"	"BA01_01"	"BA02_01"	"BA03_01"	"BA04_01"	"BA05_01"	"BA06_01"	"BA07_01"	"BA08_01"	"BA09_01"	"BA10_01"	"BA11_01"	"BA12_01"	"BA13_01"	"BA14_01"	"BA15_01"	"BA16_01"	"BA17_01"	"BA18_01"	"BA19_01"	"BA20_01"	"BA21_01"	"BA22_01"	"BA23_01"	"BA24_01"	"BA25_01"	"BA26_01"	"BA27_01"	"BA28_01"	"BA29_01"	"BA30_01"	"BA31_01"	"BA32_01"	"BA33_01"	"BA34_01"	"BA35_01"	"BA36_01"	"BA37_01"	"BA38_01"	"BA39_01"	"BA40_01"	"BA41_01"	"BA42_01"	"BA43_01"	"BA44_01"	"BA45_01"	"BA46_01"	"BA47_01"	"BA48_01"	"BA49_01"	"BA50_01"	"BA51_01"	"BA52_01"	"BA53_01"	"BA54_01"	"BA55_01"	"BA56_01"	"BA57_01"	"BA58_01"	"BA59_01"	"BA60_01"	"BA61_01"	"BA62_01"	"BA63_01"	"BA64_01"	"BA65_01"	"BA66_01"	"BA67_01"	"BA68_01"	"BA69_01"	"BA70_01"	"BA71_01"	"BA72_01"	"BA73_01"	"BA74_01"	"BA75_01"	"BA76_01"	"SC01_01"	"SC02_01"	"SC03_01"	"DF01_01"	"DF02"	"DF04"	"DF04_04"	"DF05"	"DF05_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
407			"base"	"interview"	2018-04-24 09:07:52	4	13	21	70	52	50	58	4	64	72	57	3			"Ein Strichmännchen sitzt vor einem Auto "	"Ein Strichmännchen hat einen Autounfall und es brennt"																	"Ein Strichmännchen fällt hin "																													"Ein Strichmännchen fällt von einem Tisch herunter"		"Ein Strichmännchen hat Angst vor einer Spinne"					"Ein Strichmännchen fällt vom stuhl"	"Ein Strichmännchen fällt die Treppe herunter "						"Ein Strichmännchen fällt hin (zu Boden) "						"Ein Strichmännchen macht Yoga "		"Ein Strichmännchen ist scheinbar spät dran "							2	6																	3																													7		6					5	7						4						5		5							3	7																	4																													6		3					5	5						3						1		1							3	7																	7																													6		5					4	6						4						1		2							7	1																	4																													1		3					3	1						4						7		7							3	7																	3																													3		1					3	5						2						1		1							1	1																	1																													1		1					1	1						1						1		1					"Manche Situationen konnte man klar als Notfall identifizieren, bei vielen anderen Bilder war ich unsicher, ob die Person überhaupt in Gefahr ist. "	"Nein "	"Die unterschiedliche Einschätzung von (Gefahr-)Situationen und die damit verbundene Intensität der Hilfe. "	19	1	2		1		4	15	9	421	111	12	26	598		2018-04-24 09:17:50	T	F	7	7	0	0	1.23	16
409			"base"	"interview"	2018-04-24 09:25:06	4	13	33	75	10	69	40	61	73	25	31	46										"Eine Person wird von einer anderen mit einer Wasserpistole betroht"															"Eine Person sitzt vor einem Fahrrad am Boden und hab wahrscheinlich eine knie Verletzung "						"Einer Person fallen Im stürzt giftige Chemikalien aus der Hand "		"Einer Person fallen Bücher und stifte runter Ggf in einen Graben "							"Eine Person liegt am Boden in ggf einer Blutlache und eine andere Person steht und gestikuliert "						"Eine Person liegt in einer Blutlache am Boden  und wurde von einer andern Person mit Stock in der Hand wahrscheinlich in diese Position gerückt "															"Eine Person liegt vor einem Auto in einer Blutlache "								"Eine Person ist traurig und allein"				"Eine Person kniet vor einem gefäß mit drei kugeln "		"Eine Person hat eine Autopanne und benötigt Hilfe "											7															7						6		4							6						7															6								5				3		6											1															1						4		1							4						4															4								1				1		2											2															3						7		3							7						7															7								3				1		3											6															6						1		3							1						1															1								3				7		2											2															5						4		5							6						6															6								6				1		6											1															1						3		1							3						3															4								1				1		3		"Die dargestellten Situationen haben sich von Bild zu Bild gesteigert"	"Nein "	"Wie schnell man in eine Situation eingreifen würde, ggf was mit Mitgefühl und Selbstschutz "	19	1	2		1		5	6	18	579	69	9	31	717		2018-04-24 09:37:04	T	F	7	7	0	0	1.23	14
412			"base"	"interview"	2018-04-24 09:31:11	4	13	68	56	47	60	3	53	11	27	44	24			"Ein blutender Mensch sitzt neben einen Auto"								"Eine Person bedroht eine andere mit einem Messer"													"Eine blutende person sitzt neben einem Fahrrad"			"Eine Person ist vom Fahrrad gefallen"																	"Eine Person will sich vor einem Messerangriff schützen"			"Eine Person schießt eine andere an"						"Eine person rennt vor eine Spinne weg"			"Eine Person, die von einem Stuhl herunterfällt"				"Eine Person wurde von eiem Auto angefahren"								"Ein gezeichneter Mensch, der traurig auf dem Boden sitzt"											2								7													4			5																	5			7						7			7				5								3											2								3													1			1																	2			3						1			2				2								2											5								7													4			5																	7			7						3			7				7								5											6								1													6			4																	1			1						1			1				2								5											4								6													4			5																	6			6						1			6				6								5											4								1													4			4																	1			1						4			1				1								2									"Es kam ein Bild doppelt vor und die Situationen können fast immer unterschiedlich gedeutet werden"	"Nein"	"Hilfeverhalten zu untersuchen"	19	1	2		1		24	10	11	423	62	13	64	607		2018-04-24 09:41:18	T	F	7	7	0	0	0.93	6
415			"base"	"interview"	2018-04-24 09:54:03	4	14	33	59	14	73	25	69	7	8	12	52							"Nicht nur das Fahrrad sondern auch Auto's scheinen dem Menschen in ihrer Funktionsweise unbekannt"	"Ein hilfebedürftiger Mensch winkt einem vorbei fahrendem Auto"				"Mensch bedroht Mensch mit Schusswaffe"		"Anakin Skywalker bringt einen Padawan um"											"Ein Mensch hat das Prinzip von Fahrrad fahren offensichtlich nicht vollkommen verinnerlicht"								"Ein Mann hebt Stifte und Bücher auf"																			"Angriff der Riesenspinnen"							"Mensch fällt Treppe herunter"										"Sitzen macht Spaß"				"Ein Mensch bietet ein Opfer dar"										1	4				7		7											1								3																			4							6										1				1										1	1				1		1											1								1																			1							1										1				1										1	6				7		7											1								1																			4							7										1				1										7	2				1		4											7								1																			4							4										7				7										1	5				3		1											1								1																			1							3										1				1										1	1				1		7											1								1																			1							2										1				1				"sehr schwammig alles"	"Nein"	"Was für eindeutige Zeichen sind nötig, damit ich eine Situation als tatsächlich gefährlich einschätze und wie sehr hängt meine Hilfsbereitschaft von meiner eigenen Gefährdung ab"	27	2	2		1		4	16	12	515	105	12	136	697		2018-04-24 10:07:23	T	F	7	7	0	0	1	10
418			"base"	"interview"	2018-04-24 10:01:39	4	14	45	63	74	19	68	5	67	71	43	20					"Die Person schiebt das liegengebliebene Auto"														"Die Person stolpert über den Gegenstand auf dem Boden."	"Die Person fällt über den Stein vor den Bus."																							"Eine Person liegt blutend am Boden, die andere steht mit einem Messer in der Hand daneben."		"Eine Person liegt am Boden, weil sie von der anderen mit dem Stock geschlagen wurde/wird"																		"Die Person liegt blutend am Boden."				"Die Person liegt mit einem evtl. verdorbenen Apfel in der Hand auf dem Boden."	"Die Person hält sich ihr blutendes Bein."			"Die Person hält sich ihr Bein und scheint nach Hilfe zu winken"			"Die sitzende Person wird an einer Bushaltestelle von der stehenden Person bedroht"							6														5	6																							6		6																		6				5	6			2			5							1														1	4																							5		7																		7				1	2			1			4							1														3	7																							7		6																		7				5	5			3			5							3														6	2																							1		2																		1				2	3			6			5							6														3	5																							6		7																		7				6	7			6			6							3														6	1																							1		1																		1				5	2			5			5			"Das Bild mit der Person, die ihr Bein hält und den anderen Arm oben hat, war das einzige, was auch etwas harmloses wie eine Dehnübung hätte sein können.

Es wurde nicht danach gefragt, ob man sich trauen würde, einzugreifen."	"Nein"	"Die Rolle davon, was andere denken, wenn man in unklaren Situationen eingreift."	20	1	2		1		4	6	15	412	114	13	20	584		2018-04-24 10:11:23	T	F	7	7	0	0	1.33	20
419			"base"	"interview"	2018-04-24 10:15:34	4	14	17	60	50	76	49	30	21	51	26	47																	"Figur, welche von fallender Kiste getroffen werden könnte"				"Figur liegt am Boden und blutet"					"Figur ist von Fahrrad gefallen"				"Figur steht vor Feuer"																	"Figur ist angeschossen worden"		"Figur verliert Gleichgewicht auf Schränkchen"	"Figur steht auf Schränkchen"	"Figur hat Angst vor Spinne"									"Liegende Figur und Auto"																"Figur schiebt Auto an"																	6				6					7				5																	7		5	1	7									2																7																	1				4					1				1																	7		1	1	1									1																1																	7				6					6				5																	7		5	4	1									5																1																	2				3					2				5																	1		5	7	7									6																7																	4				5					6				4																	3		5	1	1									4																1																	4				1					1				4																	4		1	1	1									4																1	"Nein"	"Nein"	"Zu erfahren, wie Menschen Situationen einschätzen und bei welchen Situationen sie eingreifen würden"	19	1	2		1		40	28	10	466	138	12	32	707		2018-04-24 10:27:41	T	F	7	7	0	0	0.81	4
420			"base"	"interview"	2018-04-24 10:15:46	4	14	36	4	16	23	48	58	2	35	37	61		"Person blutet, weil sie von anderer Person angeschossen wurde"		"Person fällt aus Auto in Feuer"												"Zwei kämpfende Personen "							"Person fällt vom Fahrrad "												"Kronleuchter fällt auf Person"	"Strichmännchen, dass zwei Kartons trägt"	"Person trägt 3 Kisten"											"Person wird von einer anderen Person angeschossen"										"Person fällt Treppe runter"			"Blutende Person wurde von Auto angefahren"																	7		5												3							7												7	6	6											7										7			6																	7		7												4							1												1	1	1											7										1			2																	7		7												5							6												4	5	2											7										6			7																	1		1												6							2												5	6	6											1										5			1																	7		7												3							7												4	5	2											7										6			7																	7		5												1							2												1	1	1											6										1			3																"Die Situationen waren unterschiedlich gefährlich, manche gar nicht"	"Nein, bisher nicht"	"Sich in die Situationen reinzuversetzen und mögliche Handlungen zu überlegen"	19	1	2		1		12	9	12	543	200	13	35	824		2018-04-24 10:29:30	T	F	7	7	0	0	0.87	1
421			"base"	"interview"	2018-04-24 10:20:14	4	14	32	13	56	46	62	72	34	75	42	55													"Die Person mit dem Schlagstock scheint aggressiv auf die Person ohne Stock zuzugehen"																			"Die Kisten scheinen auf den Menschen zu fallen"		"Die Person hat ihren Geldbeutel fallen gelassen und bückt sich nun um diesen aufzuheben"								"Die Person liegt am Boden und blutet oder ""uriniert sich ein"""				"Die Person mit dem Schlagstock schlägt die Person auf dem Boden"									"Die Person fällt beim ""kippeln"" mit dem Stuhl "	"Die Person auf dem Stuhl fällt um"						"Eine Person liegt gekrümmt auf dem Boden"										"Die Person erschrickt bei dem Blick auf die Uhr, evtl ist sie zu spät"			"Die Person hat Probleme mit ihrem Auto"														7																			5		7								2				7									3	6						6										7			5														1																			1		1								1				1									1	1						1										1			1														7																			6		1								7				7									5	7						6										1			2														1																			6		5								1				4									3	5						2										5			2														3																			1		6								6				4									5	4						7										1			5														1																			1		1								1				1									1	4						3										1			1		"Ein Bild hat sich gedoppelt
Bei allen Bildern handelte es sich um eine Person, welche entweder gewaltsam behandelt wurde oder in einer prikären Lage war."	"Nein"	"Herausfinden wann sich Personen aufgerufen fühlen einzugreifen und zu helfen. ( was ich erst nach dem 3. Bild ca verstanden habe)"	24	1	2		1		4	10	13	435	105	10	16	593		2018-04-24 10:30:07	T	F	7	7	0	0	1.35	21
422			"base"	"interview"	2018-04-24 10:34:36	4	14	29	31	66	64	57	9	15	10	54	1	"Person wurde niedergeschossen"								"Person am Straßenrand"	"Person wird mit Waffe bedroht"					"Angriff mit Messer"														"Fahrradunfall"		"Vergiftung"																							"Wegrennen vor Spinne"			"Person fällt von Stuhl"							"blutende Person"		"Sturz mit Kanne"											2								1	7					7														3		3																							5			6							1		6											5								1	5					5														2		2																							1			1							2		1											6								3	7					7														5		6																							2			6							6		2											2								7	2					2														3		2																							7			2							2		6											4								4	5					5														4		6																							3			6							6		1											2								6	6					1														3		2																							5			2							2		6												"nein"		19	1	2		1		9	9	12	454	25	13	32	554		2018-04-24 10:43:50	T	F	7	7	3	2	1.32	19
423			"base"	"interview"	2018-04-24 10:41:54	4	14	40	6	22	41	28	38	18	65	39	70						"Motorschaden / auslaufendes Öl"												"Die getragenen Kisten fallen herunter"				"Ein Hirsch greift jemanden an"						"Fahrradunfall"										"Zerstörung von Eigentum"	"Person fällt von der Leiter"	"Mord"	"Eine Schlägerei / Gewalttat"																								"Ein Unfall / verblutende Person"					"Verletzung am Bein, Person ruft um Hilfe"												5												6				7						7										7	7	5	5																								7					6												2												2				5						1										2	3	6	6																								2					1												3												3				7						7										4	7	7	7																								7					7												3												5				1						1										2	1	2	3																								1					1												4												7				6						6										6	7	5	6																								7					7												2												1				1						1										1	2	1	2																								1					1							"Einige Zeichnungen enthielten Blut, andere nicht"	"nein"	"Einfluss von Blut(lachen) auf wahrgenommene Gefährlichkeit und Hilfsbereitschaft"	23	2	2		1		18	9	15	378	102	8	18	548		2018-04-24 10:51:02	T	F	7	7	0	0	1.14	14
425			"base"	"interview"	2018-04-24 10:55:06	4	15	67	9	49	55	44	41	51	27	54	33									"Jemand sitzt neben einem Auto und hält sich das möglicherweise verletzte Bein."																		"Eine am Bein verletzte Person sitzt neben ihrem Fahrrad."						"Einer Person fallen Bücher und Stifte aus der Hand."								"Zwei Personen, die eine aufrecht und aktiv, die andere gekrümmt am Boden liegend."			"Eine Person hat anscheinend eine andere Person mit einem langen Gegenstand verletzt, der verletzte liegt am Boden."					"Jemand fällt gerade von rücklangs von einem kleinen Schrank. "		"Eine Person hat Angst vor einer Spinne."			"Eine Person rennt vor einer sehr großen Spinne weg."	"Der Stuhl, auf dem jemand sitzt, fällt um. "												"Jemand mit einem Apfel in der Hand ist hingefallen."																		3																		6						7								3			4					6		6			6	5												4																		1																		1						1								4			6					1		1			6	1												1																		5																		5						3								5			7					7		2			6	5												5																		3																		3						1								6			5					1		2			2	2												6																		4																		6						6								3			4					7		3			4	4												6																		3																		1						1								5			4					1		1			2	2												1										"Manche Bilder waren paarig auf so eine Weise, dass die gleiche Situation zweimal in leicht veränderten Kontext gezeigt wurde. So z.B. einmal mit langem Gegenstand und einmal ohne."	"Nein."	"Keine Ahnung."	20	2	2		1		3	7	13	733	102	10	161	901		2018-04-24 11:12:15	T	F	7	7	0	0	1.18	18
427			"base"	"interview"	2018-04-24 11:02:04	-9	15	5	57	37	63	73	46	75	29	50	18					"Ein Auto das aus dem Matsch geschoben wird "													"Einem Mensch welchem Kartons aus der Hand gallen"											"Ein Mensch der vom Fahrrad gefallen ist "								"Ein Mensch der viel Boxen trägt"									"Ein am Boden liegender Mensch word mit einem Stock geschlagen."				"Ein Mensch der kurz davor ist von Regal zu fallen."							"Ein Mensch der kurz davor ist von einem Stuhl zu fallen"						"Ein verletzter, blutender Mensch am Boden"										"Ein Mensch vor einer Schüüsel Kugeln"		"Ein Mensch der hinter einem Auto steht"						5													7											7								7									6				6							6						5										2		2						2													4											7								2									7				6							6						7										1		4						2													3											7								2									7				6							6						7										1		4						2													3											1								2									1				2							1						1										7		6						5													5											7								5									5				5							4						7										1		1						5													2											1								4									3				4							1						2										1		3		"Es wurde oft zuerst ein Situationsausschnitt und später dann mehr Kontext gezeigt."	"Nein "	"Das Hilfeleistungsverhalten zu beurteilen "	20	1	2		1		5	13	12	644	80	16	26	796		2018-04-24 11:15:20	T	F	7	7	1	1	1.07	8
433			"base"	"interview"	2018-04-24 11:45:30	4	15	45	28	40	20	24	47	74	71	59	8								"Eine Person wurde von einem Auto angefahren und hat sich dabei das Bein verletzt."												"Ein Bus der sich einer Person nähert. Diese ist gerade dabei über ein Steim zu stolpern."				"Jemand hat sich an seinem Bein verletzt. dahinter ist ein Fahrrad zu sehen."				"Jemand ist vom Fahrrad gestürzt."												"Jemand kommt um einer verletzten person zu helfen."					"Jemand schlägt jemanden mit einem Schläger nieder."		"Jemand schießt eine Perosn an/nieder."												"Eine person stürzt von einer Treppe."												"Eine Person hat sich verletzt und ruft nach Hilfe"			"Zwei Personen reden/streiten sich an einer Bushaltestelle"										6												1				6				6												1					4		6												7												2			2										1												4				1				1												1					6		7												1												1			1										6												7				6				7												7					7		7												7												4			2										2												1				1				1												1					1		1												1												7			7										7												5				7				7												7					7		5												7												7			2										1												1				1				1												1					1		1												1												1			5			"Es wurden Situationen auf unterschiedlichen ""Gewaltstufen"" gezeigt."	"nein"	"Herauszufinden inwiefern das Einschätzen einer Situation mit dem mit dem Hilfe leisten und Eingreifen zusammenhängt."	20	1	2		1		3	6	6	1130	372	19	52	1298		2018-04-24 12:11:58	T	F	7	7	0	0	1.22	25
434			"base"	"interview"	2018-04-24 12:16:43	4	15	17	68	22	21	30	64	62	19	32	65																	"Eine Kiste fällt von oben nach unten, ein Strichmännchen versucht seinen Kopf zu schützen."		"Das Strichmännchen ist gestolpert und gegen eine Kiste mit dem Knie gestoßen. Es befindet sich in dem Moment im Ungleichgewicht."		"Ein Strichmännchen hat sich das Bein gebrochen, offensichtlich mit einer offenen Wunde, die blutet. Es liegt auf dem Boden, das Bild ist aus der Vogelperspektive."	"Ein Strichmännchen rennt vor einem Hirsch weg."								"Das Strichmännchen erschrickt, da es ein Feuer bemerkt,"		"Das Strichmännchen hat sich an der Kiste festgehalten, hat das Gleichgewicht verloren und die Kiste mitgezogen. Die Kiste ist gerade dabei, auf das hinfallende Strichmännchen zu fallen."																														"Das Strichmännchen liegt scheinbar bewusstlos auf dem Boden."		"Das Strichmännchen sieht aus, als wenn es kriecht, aber nicht fortkommt, da es mit dem Fuß/Bein an etwas festklebt."	"Ein Strichmännchen liegt am Boden und hat offensichtlich eine Wunde, da von der Kopfregion ausgehend eine Blutlache vorhanden ist."			"Ein Strichmännchen sitzt da und ist traurig, den Schatten darunter kann ich nicht einordnen, vielleicht eine Spiegelung auf dem Boden oder Blut."																									6		5		7	7								3		7																														3		3	6			7																									2		1		1	6								2		1																														1		1	1			1																									7		4		6	7								5		7																														5		2	6			4																									5		6		1	1								6		1																														7		7	1			7																									5		2		7	4								2		7																														7		5	7			5																									2		4		1	4								1		1																														1		5	1			4									"Anscheinend sind dies alles Bilder, die mit verletzten Personen (bzw. jene, die im Begriff dabei sind) assoziiert werden soll. "	"Nein"	"Sicherlich wird ein Ziel sein, dass man Erste-Hilfe-Verhalten, speziell die Initiation dessen, untersuchen möchte. Dabei wird wahrscheinlich der Grund im Erkennen der Notfallsituation liegen."	20	2	2		1		3	10	18	953	147	8	20	1159		2018-04-24 12:36:02	T	F	7	7	0	0	1.27	23
435			"base"	"interview"	2018-04-24 12:24:49	4	15	36	52	2	34	58	23	12	14	6	10		"Eine Person wird durch eine andere angegriffen."				"nicht erkennbar"				"Eine Person bedroht eine andere. "		"Eine Person wird durch eine Andere durch eine Pistole bedroht."		"Eine Person schlaegt eine andere."									"Die Person faellt vom Fahrrad runter."											"Das Geld dieser Person ist am Boden gefallen. "		"Eine Person hebt schwere Kisten auf. "																"Die Person hat Angst vor dem Insekt. "						"Die Person stollpert auf die Treppen und ist runtergefallen."																				7				1				7		7		7									7											7		6																7						6																				7				1				7		7		7									7											1		4																4						5																				7				1				7		7		7									7											1		6																4						6																				1				1				1		1		1									1											7		2																3						3																				1				1				3		1		4									6											1		6																2						6																				7				1				6		6		6									5											7		1																4						4																			"einiges war unklar"	"nein"	"verschiedene Sichten zu den Bildern zu sammeln."	18	1	2		2	"Aegypterin"	16	9	7	621	55	21	51	780		2018-04-24 12:37:49	T	F	7	7	0	0	0.99	9
437			"base"	"interview"	2018-04-24 12:32:58	4	15	70	31	38	72	66	42	15	11	25	60											"Er bedroht den anderen mit einem Stock "				"Der eine versucht drn anderen zu erstechen "										"Er hat sich beim Fahrradfahren verletzt "						"Er hat vor sich zu vergiften "							"Der eine macht den Laptop des anderen kaputt "				"Er schläft "																		"Das auto hat ihn angefahren"						"Die Lampe fällt ihm aus den Händen "				"Er schlägt auf etwas "		"Er sieht dass er zu spät aufgestanden ist "															5				6										5						3							6				4																		3						4				1		5															6				7										4						6							4				1																		5						1				5		1															5				7										4						6							2				1																		6						1				2		1															2				1										3						3							3				1																		6						1				6		1															5				7										3						6							5				1																		6						1				4		1															4				1										5						3							2				1																		6						1				5		1					"Einige Situationen waren für mich klar bedrohlich, andere aber sehr schwer zu interpretieren "	"Nein "	"Zu schauen wie die Leute die Bilder interpretieren "	20	1	2		1		32	8	28	426	64	10	16	584		2018-04-24 12:42:42	T	F	7	7	0	0	1.11	15
